,Fail_num,Score,Fitness,Sharpe,Returns,Turnover,Drawdown,Self_Corr,Exec_time,Generation,Thread_num,Task_num,Alpha,From_process
0,2,0.4585,0.31,0.58,3.67%,2.48%,21.48%,,44.36s,3,7,11,"trade_when(ts_mean(returns, 20) - 0.01, rank(ts_std_dev(beta_last_30_days_spy, 6)), -1)",6
1,2,0.443,0.3,0.56,3.65%,6.05%,17.82%,,42.36s,2,5,8,"trade_when(ts_mean(returns, 20) - 0.01, -rank(scl12_sentiment) - ts_delay(correlation_last_30_days_spy, 45) + ts_delay(0.28351*scl12_buzz + 0.71649*snt_buzz, 9), -1)",14
2,2,0.3045,0.2,0.39,3.36%,1.60%,33.56%,,40.34s,2,1,4,"trade_when(ts_mean(returns, 20) - 0.01, ts_sum(rank(rank(unsystematic_risk_last_60_days)), 15), -1)",4
3,2,0.2125,0.13,0.28,2.54%,1.71%,42.42%,,40.36s,1,7,3,"trade_when(ts_mean(returns, 20) - 0.01, rank(unsystematic_risk_last_60_days), -1)",7
4,2,0.2025,0.12,0.27,2.49%,1.66%,43.38%,,34.28s,2,1,6,"trade_when(ts_mean(returns, 20) - 0.01, rank(0.60023*unsystematic_risk_last_60_days + 0.39977*unsystematic_risk_last_90_days), -1)",6
5,2,0.1945,0.09,0.28,1.34%,4.20%,17.19%,,44.33s,1,2,5,"trade_when(ts_mean(returns, 20) - 0.01, ts_covariance(rank(ts_min(snt_social_volume, 9)), rank(ts_delta(beta_last_90_days_spy, 21)), 8), -1)",13
6,2,0.1825,0.1,0.25,2.09%,1.45%,42.76%,,30.24s,2,1,9,"trade_when(ts_mean(returns, 20) - 0.01, rank(ts_mean(unsystematic_risk_last_30_days, 9)), -1)",9
7,2,0.177,0.1,0.24,2.24%,1.63%,43.96%,,48.71s,1,2,2,"trade_when(ts_mean(returns, 20) - 0.01, rank(unsystematic_risk_last_90_days), -1)",6
8,2,0.177,0.1,0.24,2.00%,1.92%,42.81%,,36.35s,1,4,4,"trade_when(ts_mean(returns, 20) - 0.01, rank(unsystematic_risk_last_30_days), -1)",6
9,2,0.0995,0.05,0.14,1.61%,8.99%,59.58%,,28.20s,1,2,3,log(unsystematic_risk_last_60_days),12
10,2,0.0785,0.04,0.11,1.48%,2.44%,76.84%,,30.48s,5,1,12,"trade_when(ts_mean(returns, 20) - 0.01, unsystematic_risk_last_90_days, -1)",18
11,2,0.064,0.02,0.1,0.34%,3.21%,13.31%,,34.32s,1,4,2,"trade_when(ts_mean(returns, 20) - 0.01, ts_delay(rank(snt_buzz_ret*unsystematic_risk_last_90_days), 60), -1)",16
12,2,0.063,0.03,0.09,1.23%,2.62%,78.05%,,42.34s,2,6,6,"trade_when(ts_mean(returns, 20) - 0.01, group_neutralize(0.61851*unsystematic_risk_last_60_days + 0.38149*unsystematic_risk_last_90_days, sector), -1)",11
13,2,0.053,0.02,0.08,0.53%,10.39%,36.24%,,46.38s,1,10,1,"group_neutralize(rank(ts_max(snt_buzz_ret, 3))*ts_mean(ts_max(rank(unsystematic_risk_last_90_days), 45), 21), industry)",3
14,3,34.5385,50.23,21.7,491.76%,91.77%,0.00%,,36.29s,2,9,3,"trade_when(ts_mean(returns, 20) - 0.01, ts_covariance(ts_sum(snt_buzz_ret, 8), (correlation_last_90_days_spy - rating)/(sign(unsystematic_risk_last_60_days)*ts_delta(rank(unsystematic_risk_last_90_days/unsystematic_risk_last_30_days), 45)), 4), -1)",4
15,3,2.84,2.51,3.11,78.44%,120.00%,0.82%,,22.25s,2,7,3,"ts_corr(ts_corr(ts_sum(beta_last_90_days_spy/beta_last_60_days_spy, 250), scl12_sentiment/snt_value, 45), scl12_sentiment/snt_value, 45)",1
16,3,1.3105,0.59,1.9,4.02%,41.47%,2.56%,,32.29s,4,6,8,inverse(rank(rank(rating))),15
17,3,1.3105,0.59,1.9,4.02%,41.47%,2.56%,,28.28s,2,9,9,inverse(rank(rating)),15
18,3,1.146,0.53,1.65,4.34%,41.47%,3.62%,,34.31s,3,4,11,#NAME?,9
19,3,1.042,0.8,1.24,10.90%,25.93%,12.72%,,28.21s,5,3,12,2*correlation_last_30_days_spy + snt_buzz + 2*unsystematic_risk_last_90_days,18
20,3,1.032,0.79,1.23,10.97%,26.45%,16.09%,,32.29s,5,9,10,correlation_last_30_days_spy + snt_buzz + 2*unsystematic_risk_last_90_days,18
21,3,0.9995,0.73,1.22,9.65%,27.11%,11.19%,,30.39s,1,2,4,correlation_last_30_days_spy + snt_buzz + unsystematic_risk_last_90_days,18
22,3,0.9995,0.73,1.22,9.65%,27.11%,11.19%,,32.45s,2,5,7,correlation_last_30_days_spy + snt_buzz + unsystematic_risk_last_90_days,18
23,3,0.9885,0.73,1.2,9.94%,26.86%,12.45%,,32.32s,3,8,10,"correlation_last_30_days_spy + snt_buzz + unsystematic_risk_last_90_days + ts_min(systematic_risk_last_90_days, 60)",18
24,3,0.969,1.2,0.78,29.54%,5.13%,67.85%,,30.29s,3,10,9,"ts_mean(ts_mean(unsystematic_risk_last_90_days**4, 4), 4)",12
25,3,0.9685,0.71,1.18,9.49%,26.02%,15.01%,,38.34s,3,4,9,2*correlation_last_30_days_spy + snt_buzz + unsystematic_risk_last_90_days,18
26,3,0.9585,0.7,1.17,9.52%,26.78%,12.76%,,32.30s,2,9,7,"snt_buzz + unsystematic_risk_last_90_days + ts_min(systematic_risk_last_90_days, 60)",18
27,3,0.9305,0.65,1.16,8.69%,27.38%,9.99%,,32.29s,2,4,6,correlation_last_30_days_spy + 2*snt_buzz + unsystematic_risk_last_90_days,18
28,3,0.925,0.65,1.15,8.81%,27.19%,12.37%,,28.64s,4,7,10,2*correlation_last_30_days_spy + 2*snt_buzz + unsystematic_risk_last_90_days,18
